Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
190,Mario Hezonja\hezonma01,SF,21,ORL,65,960,,,,,,,,,,,,,,,,,,,,,2,4.4,12.4,.355,1.6,5.4,.299,2.8,7.0,.398,1.5,1.9,.800,0.7,4.7,5.5,2.3,1.1,0.5,2.2,2.8,11.9
191,Roy Hibbert\hibbero01,C,30,TOT,48,682,,,,,,,,,,,,,,,,,,,,,13,4.2,7.8,.544,0.0,0.0,,4.2,7.8,.544,3.2,4.0,.813,2.9,5.3,8.1,1.1,0.4,2.4,1.7,5.3,11.7
192,Buddy Hield\hieldbu01,SG,23,TOT,82,1888,,,,,,,,,,,,,,,,,,,,,55,6.2,14.6,.426,2.8,7.2,.391,3.4,7.4,.461,1.2,1.4,.842,0.7,4.5,5.1,2.3,0.7,0.2,1.9,2.2,16.5
193,Nene Hilario\hilarne01,C,34,HOU,67,1198,,,,,,,,,,,,,,,,,,,,,8,7.4,11.9,.617,0.1,0.3,.333,7.3,11.7,.624,3.5,5.9,.589,2.9,5.6,8.4,2.0,1.7,1.2,2.2,4.9,18.3
194,George Hill\hillge01,PG,30,UTA,49,1544,,,,,,,,,,,,,,,,,,,,,49,6.7,14.1,.477,2.2,5.4,.403,4.5,8.7,.523,3.7,4.6,.801,0.5,3.4,3.9,4.7,1.2,0.3,2.0,2.7,19.3
195,Jordan Hill\hilljo01,C,29,MIN,7,47,,,,,,,,,,,,,,,,,,,,,0,3.8,10.0,.385,0.0,0.0,,3.8,10.0,.385,1.5,1.5,1.000,6.1,4.6,10.7,0.0,0.8,0.0,3.1,6.9,9.2
196,Solomon Hill\hillso01,SF,25,NOP,80,2374,,,,,,,,,,,,,,,,,,,,,71,2.8,7.2,.383,1.4,4.1,.348,1.3,3.2,.428,1.6,1.9,.805,0.8,3.9,4.7,2.1,1.1,0.5,1.2,2.8,8.5
197,Darrun Hilliard\hillida01,SG,23,DET,39,381,,,,,,,,,,,,,,,,,,,,,1,4.4,11.9,.373,1.1,4.3,.261,3.3,7.6,.438,2.0,2.6,.750,0.2,2.9,3.1,3.1,1.0,0.2,2.6,3.7,12.0
198,Jrue Holiday\holidjr01,PG,26,NOP,67,2190,,,,,,,,,,,,,,,,,,,,,61,6.7,14.7,.453,1.6,4.6,.356,5.0,10.1,.498,2.0,2.8,.708,0.8,3.6,4.3,8.0,1.6,0.7,3.2,2.2,16.9
199,Justin Holiday\holidju01,SG,27,NYK,82,1639,,,,,,,,,,,,,,,,,,,,,4,5.1,11.8,.433,2.1,6.0,.355,3.0,5.8,.513,1.4,1.8,.825,0.6,4.3,4.9,2.2,1.4,0.7,1.4,2.4,13.8
200,Rondae Hollis-Jefferson\holliro01,SF,22,BRK,78,1761,,,,,,,,,,,,,,,,,,,,,50,4.8,11.1,.434,0.3,1.4,.224,4.5,9.7,.463,3.9,5.2,.751,2.0,7.3,9.2,3.1,1.7,0.9,2.4,3.6,13.8
201,Richaun Holmes\holmeri01,C,23,PHI,57,1193,,,,,,,,,,,,,,,,,,,,,17,6.9,12.4,.558,0.8,2.3,.351,6.1,10.1,.606,2.2,3.1,.699,2.8,6.5,9.4,1.8,1.3,1.7,1.7,4.1,16.9
202,Rodney Hood\hoodro01,SG,24,UTA,59,1593,,,,,,,,,,,,,,,,,,,,,55,6.1,15.1,.408,2.6,6.9,.371,3.6,8.1,.440,2.0,2.6,.783,0.4,4.2,4.6,2.2,0.9,0.2,1.5,3.0,16.9
203,Al Horford\horfoal01,C,30,BOS,68,2193,,,,,,,,,,,,,,,,,,,,,68,6.2,13.1,.473,1.4,4.0,.355,4.8,9.2,.524,1.8,2.2,.800,1.6,6.1,7.6,5.5,0.9,1.4,1.9,2.3,15.6
204,Danuel House\houseda01,SG,23,WAS,1,1,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Dwight Howard\howardw01,C,31,ATL,74,2199,,,,,,,,,,,,,,,,,,,,,74,6.4,10.0,.633,0.0,0.0,.000,6.4,10.0,.635,3.7,6.9,.533,4.8,10.5,15.4,1.7,1.0,1.5,2.8,3.3,16.4
206,Marcelo Huertas\huertma01,PG,33,LAL,23,237,,,,,,,,,,,,,,,,,,,,,1,3.8,10.3,.368,0.6,2.9,.211,3.2,7.4,.429,1.4,2.6,.529,0.3,3.3,3.6,7.9,1.5,0.3,2.9,2.4,9.6
207,Josh Huestis\huestjo01,PF,25,OKC,2,31,,,,,,,,,,,,,,,,,,,,,0,7.0,12.8,.545,2.3,4.6,.500,4.6,8.1,.571,0.0,1.2,.000,4.6,5.8,10.5,3.5,0.0,3.5,0.0,0.0,16.3
208,Kris Humphries\humphkr01,PF,31,ATL,56,689,,,,,,,,,,,,,,,,,,,,,4,4.5,11.2,.407,1.0,2.8,.352,3.6,8.4,.425,3.3,4.3,.780,3.1,7.6,10.8,1.5,0.8,1.1,1.5,3.6,13.4
209,R.J. Hunter\hunterj01,SG,23,CHI,3,9,,,,,,,,,,,,,,,,,,,,,0,0.0,4.0,.000,0.0,4.0,.000,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Serge Ibaka\ibakase01,PF,27,TOT,79,2422,,,,,,,,,,,,,,,,,,,,,79,7.0,14.6,.480,1.8,4.7,.391,5.2,9.9,.522,1.6,1.9,.856,1.9,6.1,8.0,1.1,0.6,1.8,1.6,3.2,17.4
211,Andre Iguodala\iguodan01,SF,33,GSW,76,1998,,,,,,,,,,,,,,,,,,,,,0,3.9,7.5,.528,1.2,3.2,.362,2.8,4.3,.651,1.3,1.8,.706,0.9,4.6,5.5,4.7,1.4,0.7,1.0,1.7,10.3
212,Ersan Ilyasova\ilyaser01,PF,29,TOT,82,2142,,,,,,,,,,,,,,,,,,,,,52,6.5,15.0,.431,2.4,6.8,.353,4.1,8.2,.496,2.7,3.5,.778,1.9,6.2,8.1,2.4,1.0,0.4,1.9,3.5,18.0
213,Joe Ingles\inglejo01,SF,29,UTA,82,1972,,,,,,,,,,,,,,,,,,,,,26,3.7,8.2,.452,2.2,5.1,.441,1.5,3.1,.471,0.9,1.2,.735,0.4,4.3,4.7,4.1,1.8,0.1,2.0,3.0,10.6
214,Brandon Ingram\ingrabr01,SF,19,LAL,79,2279,,,,,,,,,,,,,,,,,,,,,40,4.4,10.8,.402,0.9,3.0,.294,3.5,7.9,.443,2.1,3.4,.621,0.9,4.1,5.0,2.6,0.8,0.6,1.8,2.5,11.7
215,Kyrie Irving\irvinky01,PG,24,CLE,72,2525,,,,,,,,,,,,,,,,,,,,,72,9.6,20.2,.473,2.5,6.3,.401,7.0,14.0,.505,4.2,4.7,.905,0.7,2.5,3.3,6.0,1.2,0.4,2.6,2.2,25.9
216,Jarrett Jack\jackja01,PG,33,NOP,2,33,,,,,,,,,,,,,,,,,,,,,0,2.2,3.3,.667,0.0,1.1,.000,2.2,2.2,1.000,2.2,2.2,1.000,0.0,0.0,0.0,5.5,2.2,0.0,3.3,4.4,6.5
217,Demetrius Jackson\jacksde01,PG,22,BOS,5,17,,,,,,,,,,,,,,,,,,,,,0,6.4,8.5,.750,2.1,2.1,1.000,4.2,6.4,.667,6.4,12.7,.500,4.2,4.2,8.5,6.4,0.0,0.0,0.0,0.0,21.2
218,Pierre Jackson\jackspi01,PG,25,DAL,8,84,,,,,,,,,,,,,,,,,,,,,1,5.6,16.7,.333,1.3,4.7,.273,4.3,12.0,.357,2.6,3.0,.857,0.4,3.4,3.9,8.1,0.9,0.0,1.3,2.1,15.0
219,Reggie Jackson\jacksre01,PG,26,DET,52,1424,,,,,,,,,,,,,,,,,,,,,50,7.2,17.1,.419,1.7,4.7,.359,5.5,12.5,.442,3.0,3.4,.868,0.5,2.3,2.9,6.8,0.9,0.1,2.9,3.3,19.0
